"","id","name","type","address","street_one","street_two","city","state","zip_code","location_description","date_from","date_to","open_time1","close_time1","open_time2","close_time2","Sunday","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","SNAP","WIC","FMNP","fresh_produce.healthy","MRFEI_score","latitude","longitude"
"509",NA,"GetGo #3117","Convenience Store","117 S 18th St",NA,NA,NA,"PA",15203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.427557,-79.980338
"510",NA,"GetGo #3128","Convenience Store","5281 Library Rd",NA,NA,NA,"PA",15102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.331327,-80.02207
"511",NA,"GetGo #3140","Convenience Store","4685 Old Wm Penn Hwy",NA,NA,NA,"PA",15146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.440985,-79.742885
"512",NA,"GetGo #3172","Convenience Store","1081 Freeport Rd",NA,NA,NA,"PA",15238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.488003,-79.883677
"513",NA,"Getgo #3185","Convenience Store","1200 Hoffman Blvd",NA,NA,NA,"PA",15122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.382719,-79.868215
"514",NA,"GetGo #3188","Convenience Store","1001 Lebanon Rd",NA,NA,NA,"PA",15122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.361538,-79.932066
"515",NA,"GetGo #3486","Convenience Store","800 Allegheny River Blvd",NA,NA,NA,"PA",15147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.506894,-79.843134
"516",NA,"Getgo #3487","Convenience Store","801 Mt Royal Blvd",NA,NA,NA,"PA",15233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.51415,-79.95942
"517",NA,"GetGo #3488","Convenience Store","5603 Babcock Blvd",NA,NA,NA,"PA",15237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.546976,-80.02915
"518",NA,"Getgo #3489","Convenience Store","2401 Ferguson Rd",NA,NA,NA,"PA",15101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.555705,-79.971377
"519",NA,"Getgo #3600","Convenience Store","2811 Jacks Run Rd",NA,NA,NA,"PA",15131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.338101,-79.807652
"520",NA,"GetGo #3616","Convenience Store","3601 Saw Mill Run Blvd",NA,NA,NA,"PA",15227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.372147,-79.981536
"521",NA,"Getgo #3641","Convenience Store","3029 WasHighwayngton Pike",NA,NA,NA,"PA",15017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.173242,-80.24199
"522",NA,"Getgo #3642","Convenience Store","6507 University Blvd",NA,NA,NA,"PA",15108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.518266,-80.218658
"523",NA,"Getgo #3691","Convenience Store","4099 Grandview Dr",NA,NA,NA,"PA",15044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.643031,-79.937868
"524",NA,"Getgo Elizabeth #3005","Convenience Store","1000 Hayden Blvd",NA,NA,NA,"PA",15037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.264741,-79.879445
"525",NA,"Glassmere Fuel Service #205","Convenience Store","1967 Saxonburg Blvd",NA,NA,NA,"PA",15084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.629201,-79.855635
"526",NA,"Good News","Convenience Store","625 Stanwix St",NA,NA,NA,"PA",15222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.443227,-80.004835
"527",NA,"Greyhound Frankstown Sunoco A Plus","Convenience Store","6481 Fransktown Ave",NA,NA,NA,"PA",15206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.460783,-79.913953
"528",NA,"Gulf Gas Station - Bridgeville","Convenience Store","449 Railroad St",NA,NA,NA,"PA",15017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.357899,-80.110312
"529",NA,"Hampton Sunoco","Convenience Store","4785 Wm Flynn Hwy",NA,NA,NA,"PA",15101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.596714,-79.948208
"530",NA,"Hanini Market","Convenience Store","3245 Brighton Rd",NA,NA,NA,"PA",15212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.476384,-80.031944
"531",NA,"Hanini Market","Convenience Store","549 Bessemer Av",NA,NA,NA,"PA",15112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.395204,-79.839383
"532",NA,"Hanini Market/ Hanini Subs","Convenience Store","1105 Franklin Av",NA,NA,NA,"PA",15221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.439089,-79.878795
"533",NA,"Happy Minimart","Convenience Store","1300 Brodhead Rd",NA,NA,NA,"PA",15108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.535015,-80.229455
"534",NA,"Happy Minimart","Convenience Store","512 E Pikettsburgh - Mckeesport Blvd",NA,NA,NA,"PA",15137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.369823,-79.8292
"535",NA,"Harvest Valley Farms","Convenience Store","6003 Cunningham Rd",NA,NA,NA,"PA",15044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.663894,-79.934941
"536",NA,"Harv's Shell Station","Convenience Store","2501 Brighton Rd",NA,NA,NA,"PA",15212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.466959,-80.025229
"537",NA,"Homewood's Quik Pick","Convenience Store","7201 Frankstown Av",NA,NA,NA,"PA",15208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.45752,-79.8961
"538",NA,"Honey Bear/Spee-D Mart #223","Convenience Store","2131 Ardmore Blvd",NA,NA,NA,"PA",15221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.418907,-79.848982
"539",NA,"In & Out Market","Convenience Store","300 Helen St",NA,NA,NA,"PA",15136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.474126,-80.057105
"540",NA,"Indian Grocery Oakland","Convenience Store","319 Craig St",NA,NA,NA,"PA",15213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.4451,-79.948482
"541",NA,"J & K Plus Store #102","Convenience Store","901 Elizabeth St",NA,NA,NA,"PA",15221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.426262,-79.841255
"542",NA,"J & S Food Mart","Convenience Store","625 W Grant St",NA,NA,NA,"PA",15110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.37177,-79.851733
"543",NA,"J J's Deli Mart","Convenience Store","2300 Versailles Av",NA,NA,NA,"PA",15132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.345639,-79.849166
"544",NA,"J&M Dariette","Convenience Store","552 3rd St",NA,NA,NA,"PA",15025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.292983,-79.881361
"545",NA,"Jack's Market & Coffee Shop","Convenience Store","245 8th Av",NA,NA,NA,"PA",15120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.408016,-79.909637
"546",NA,"Jade 99 Asian Supermaket","Convenience Store","2112 Penn Av",NA,NA,NA,"PA",15222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.451847,-79.982434
"547",NA,"Jessie's Westside Market","Convenience Store","3038 Chartiers Av",NA,NA,NA,"PA",15204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.454017,-80.05974
"548",NA,"J-N-J Convenience Store","Convenience Store","646 Herron Av",NA,NA,NA,"PA",15219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.452605,-79.964261
"549",NA,"Joes Butcher Shop","Convenience Store","502 Broadway Av",NA,NA,NA,"PA",15140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.401989,-79.777692
"550",NA,"K-2 Convenience Store","Convenience Store","4900 Penn Av",NA,NA,NA,"PA",15224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.464939,-79.94488
"551",NA,"Ken's Grocery","Convenience Store","216 Beltzhoover Ave",NA,NA,NA,"PA",15210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.420099,-79.997633
"552",NA,"Kiev International Food","Convenience Store","4223 Murray Ave",NA,NA,NA,"PA",15217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.422509,-79.928598
"553",NA,"Kubaa Oriental Grocery","Convenience Store","613 OHighwayo St",NA,NA,NA,"PA",15212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.453617,-79.998695
"554",NA,"Kudla's Service Center","Convenience Store","2733 South Park Road",NA,NA,NA,"PA",15102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.327631,-80.031909
"555",NA,"Kwik Fill #239 S0001","Convenience Store","152 Mcgovern Blvd",NA,NA,NA,"PA",15046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.563829,-80.227708
"556",NA,"Kwik Fill S0171","Convenience Store","400 Allegheny River Blvd",NA,NA,NA,"PA",15139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.516465,-79.842597
"557",NA,"L A Grocery","Convenience Store","511 Larimer Ave",NA,NA,NA,"PA",15206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.465579,-79.914188
"558",NA,"L E Corner Store","Convenience Store","601 Lincoln Ave",NA,NA,NA,"PA",15206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.461804,-79.907894
"559",NA,"Labad's Mediterranean Cafe & Grocery","Convenience Store","1727 Penn Av",NA,NA,NA,"PA",15222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.450316,-79.985441
"560",NA,"Labriola Italian World","Convenience Store","605 Freeport Rd",NA,NA,NA,"PA",15215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.488444,-79.898703
"561",NA,"Last Minit Mart in Blawnox","Convenience Store","164 Freeport Rd",NA,NA,NA,"PA",15238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.491362,-79.865556
"562",NA,"Lebanon Shops Pharmacy","Convenience Store","300 Mt Lebanon Blvd",NA,NA,NA,"PA",15234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.368707,-80.034816
"563",NA,"Le's Super Grocery Kart","Convenience Store","5482 Penn Ave",NA,NA,NA,"PA",15206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.463967,-79.932666
"564",NA,"Liberty News","Convenience Store","602 Liberty Av",NA,NA,NA,"PA",15222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.441824,-80.001535
"565",NA,"Linea Verde - Green Market","Convenience Store","4619 Liberty Av",NA,NA,NA,"PA",15224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.462519,-79.950128
"566",NA,"Los Campos","Convenience Store","11566 Perry Highwayghway",NA,NA,NA,"PA",15090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.625991,-80.054021
"567",NA,"Lovedale Valero","Convenience Store","2002 Lincoln Blvd",NA,NA,NA,"PA",15037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.278924,-79.874895
"568",NA,"Lucky Bucks","Convenience Store","125 Virginia Ave",NA,NA,NA,"PA",15211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.429437,-80.008009
"569",NA,"Marathon Imperial Tri-State Petroleum #213","Convenience Store","150 U.S. Route 30",NA,NA,NA,"PA",15071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.440899,-80.238239
"570",NA,"Marathon Tri-State Petroleum #201","Convenience Store","956 Greentree Rd",NA,NA,NA,"PA",15220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.419694,-80.04666
"571",NA,"Marathon Tri-State Petroleum #203","Convenience Store","2022 WasHighwayngton Pike",NA,NA,NA,"PA",15106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.173242,-80.24199
"572",NA,"Marathon Tri-State Petroleum #219","Convenience Store","3500 Forbes Ave",NA,NA,NA,"PA",15213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.439904,-79.95801
"573",NA,"Marathon Tri-State Petroleum #221","Convenience Store","100 7th Av",NA,NA,NA,"PA",15084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.601875,-79.756348
"574",NA,"Marathon Tri-State Petroleum #222","Convenience Store","2601 Freeport Rd",NA,NA,NA,"PA",15238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.537383,-79.839998
"575",NA,"Marathon Tri-State Petroleum #223","Convenience Store","6680 Frankstown Av",NA,NA,NA,"PA",15235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.458544,-79.908615
"576",NA,"Marathon Tri-State Petroleum #224","Convenience Store","4010 Penn Av",NA,NA,NA,"PA",15224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.464964,-79.95759
"577",NA,"Market on Middle","Convenience Store","2130 Middle Rd",NA,NA,NA,"PA",15116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.548525,-79.934689
"578",NA,"Marshall's Exxon","Convenience Store","1520 Spring Garden Ave",NA,NA,NA,"PA",15212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.464747,-79.98595
"579",NA,"Mascari's Duncan Manor Exxon / Staks","Convenience Store","1700 Ferguson Rd",NA,NA,NA,"PA",15101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.565659,-79.9987
"580",NA,"Mash Mini Mart","Convenience Store","4341 Old Wm Penn Highway",NA,NA,NA,"PA",15146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.443278,-79.773673
"581",NA,"Mauro's Exxon","Convenience Store","7409 Saltsburg Rd",NA,NA,NA,"PA",15235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.477696,-79.784625
"582",NA,"McKees Rocks Sunoco A Plus","Convenience Store","351 Stanhope St",NA,NA,NA,"PA",15204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.46336,-80.05625
"583",NA,"Meme's Market","Convenience Store","1608 Walz St",NA,NA,NA,"PA",15212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.46336,-79.991069
"584",NA,"Mike's Spot","Convenience Store","815 Universal Rd",NA,NA,NA,"PA",15235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.461123,-79.811884
"585",NA,"Mini-Mitch Quick Stop","Convenience Store","304 Ross St",NA,NA,NA,"PA",15219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.437105,-79.996495
"586",NA,"Morningside Market","Convenience Store","1748 CHighwayslett St St",NA,NA,NA,"PA",15206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.485217,-79.92578
"587",NA,"Mr C's Convenience Store","Convenience Store","350 Center Av",NA,NA,NA,"PA",15229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.516583,-80.02187
"588",NA,"Natoli's Market","Convenience Store","5045 Bakerstown Rd",NA,NA,NA,"PA",15044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.661682,-80.003907
"589",NA,"Nelson Community Store","Convenience Store","92 Sylvania Ave",NA,NA,NA,"PA",15210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.417031,-80.00607
"590",NA,"New Young's Oriental Grocery","Convenience Store","5813 Forward Ave",NA,NA,NA,"PA",15217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.42973,-79.922853
"591",NA,"Oakhill Convenient Store","Convenience Store","132 Burrows St",NA,NA,NA,"PA",15213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.439166,-79.966686
"592",NA,"OM Enterprise","Convenience Store","601 Mcneilly Rd",NA,NA,NA,"PA",15226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.383053,-80.020965
"593",NA,"On the Go Market","Convenience Store","2873 W Liberty Av",NA,NA,NA,"PA",15216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.395561,-80.033092
"594",NA,"One Stop","Convenience Store","3601 Blvd Of The Allies",NA,NA,NA,"PA",15213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.434751,-79.954267
"595",NA,"Optima #1386","Convenience Store","107 Walmart Dr",NA,NA,NA,"PA",15137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.387172,-79.82252
"596",NA,"P & W Mini Mart","Convenience Store","410 Scenery Dr",NA,NA,NA,"PA",15037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.277157,-79.837797
"597",NA,"Parkway Service B P","Convenience Store","910 Saw Mill Run Blvd",NA,NA,NA,"PA",15220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.426572,-80.022275
"598",NA,"ParMar Store #56","Convenience Store","8197 Mcknight Rd",NA,NA,NA,"PA",15237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.557547,-80.023367
"599",NA,"Penn Hills Sunoco","Convenience Store","3899 Old William Penn Highway",NA,NA,NA,"PA",15235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.444181,-79.81354
"600",NA,"Penn Sunoco","Convenience Store","4068 Penn Ave",NA,NA,NA,"PA",15224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.465415,-79.955315
"601",NA,"People's Grocery","Convenience Store","5136 Penn Ave",NA,NA,NA,"PA",15224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.464646,-79.941379
"602",NA,"Perriello Produce","Convenience Store","208 7th Av",NA,NA,NA,"PA",15084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.600196,-79.761249
"603",NA,"Pirollo's Delicatessen","Convenience Store","307 Hulton Rd",NA,NA,NA,"PA",15147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.489741,-79.819455
"604",NA,"Pitcairn Sunoco","Convenience Store","479 Broadway Blvd",NA,NA,NA,"PA",15140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.401542,-79.778113
"605",NA,"Plum Convenience","Convenience Store","7615 Saltsburg Rd",NA,NA,NA,"PA",15239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.476307,-79.778563
"606",NA,"Plum Sunoco","Convenience Store","255 Unity Center Rd",NA,NA,NA,"PA",15239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.489993,-79.780528
"607",NA,"PNC C Store","Convenience Store","620 Liberty Av",NA,NA,NA,"PA",15222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.441767,-80.000839
"608",NA,"PNK Store","Convenience Store","490 North Av",NA,NA,NA,"PA",15212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.456629,-80.002082
"609",NA,"Podmilsak's Market","Convenience Store","200 Herron Av",NA,NA,NA,"PA",15024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.542758,-79.814823
"610",NA,"Popeye's Mini Mart","Convenience Store","1510 Saxonburg Blvd",NA,NA,NA,"PA",15084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.653924,-79.839314
"611",NA,"Presto Qwik Stop","Convenience Store","5237 Thoms Run Rd",NA,NA,NA,"PA",15142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.373335,-80.119033
"612",NA,"Prestogeorge Fine Foods","Convenience Store","1719 Penn Av",NA,NA,NA,"PA",15222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.450211,-79.98572
"613",NA,"Produce Plus Market & Deli","Convenience Store","471 Lincoln Ave",NA,NA,NA,"PA",15202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.494989,-80.054846
"614",NA,"Quick Stop","Convenience Store","3349 Liberty Ave",NA,NA,NA,"PA",15201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.461868,-79.966514
"615",NA,"Quick Stop Sunoco","Convenience Store","1640 Saw Mill Run Blvd",NA,NA,NA,"PA",15210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.396477,-79.998692
"616",NA,"Quik Serv","Convenience Store","400 Union Ave",NA,NA,NA,"PA",15202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.50403,-80.061799
"617",NA,"R & M Variety Store","Convenience Store","1739 Pennsylvania Ave",NA,NA,NA,"PA",15122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.361839,-79.861016
"618",NA,"Red Paprika Foods","Convenience Store","1900 Grandview Av",NA,NA,NA,"PA",15132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.339959,-79.837052
"619",NA,"Reyes Tienda Mexicana","Convenience Store","413 Semple St",NA,NA,NA,"PA",15213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.43699,-79.954397
"620",NA,"Rite Aid Pharmacies #10910","Convenience Store","4927 Homeville Rd",NA,NA,NA,"PA",15122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.38208,-79.876636
"621",NA,"Rocks Express","Convenience Store","700 Frederick St",NA,NA,NA,"PA",15136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.471394,-80.064844
"622",NA,"Rockwell Market/Rockwell Hall @ Duquesne Univ.","Convenience Store","600 Forbes Av",NA,NA,NA,"PA",15282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.436981,-79.990244
"623",NA,"Rossi's Market","Convenience Store","64 Forest Grove Rd",NA,NA,NA,"PA",15108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.481197,-80.130734
